year,patent_count
1976,588
1977,593
1978,599
1979,480
1980,590
1981,570
1982,512
1983,518
1984,611
1985,605
1986,622
1987,779
1988,711
1989,815
1990,855
1991,904
1992,890
1993,938
1994,994
1995,981
1996,1044
1997,1102
1998,1395
1999,1500
2000,1433
2001,1526
2002,1493
2003,1554
2004,1524
2005,1317
2006,1636
2007,1577
2008,1607
2009,1664
2010,2057
2011,2117
2012,2293
2013,2637
2014,2827
2015,2635
2016,2926
2017,2927
2018,2934
2019,3342
2020,3351
2021,3125
2022,3017
2023,2966
2024,3120
2025,3199
